Ref,Val,Package,PosX,PosY,Rot,Side
"D64","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",90.275000,-150.335000,90.000000,bottom
"D65","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",93.100000,-150.335000,90.000000,bottom
"D66","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",110.825000,-151.120000,90.000000,bottom
"D67","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",131.950000,-151.120000,90.000000,bottom
"D68","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",151.650000,-152.110000,90.000000,bottom
"D69","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",274.175000,-150.185000,90.000000,bottom
"D70","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",294.350000,-150.700000,90.000000,bottom
"D71","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",318.225000,-151.495000,90.000000,bottom
"D72","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",345.825000,-130.925000,90.000000,bottom
"D73","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",344.315000,-136.850000,0.000000,bottom
"D74","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",363.575000,-136.865000,-90.000000,bottom
"D75","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",326.360000,-37.325000,180.000000,bottom
"D76","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",338.840000,-37.500000,0.000000,bottom
"D77","SK6812MINI-E","SK6812MINI-E_fixed-3d",336.775000,-73.675000,180.000000,bottom
"D78","SK6812MINI-E","SK6812MINI-E_fixed-3d",313.150000,-74.100000,180.000000,bottom
"D79","SK6812MINI-E","SK6812MINI-E_fixed-3d",293.425001,-74.202842,180.000000,bottom
"D80","SK6812MINI-E","SK6812MINI-E_fixed-3d",274.350000,-73.975000,180.000000,bottom
"D81","SK6812MINI-E","SK6812MINI-E_fixed-3d",254.625001,-74.002842,180.000000,bottom
"D82","SK6812MINI-E","SK6812MINI-E_fixed-3d",235.775000,-73.700000,180.000000,bottom
"D83","SK6812MINI-E","SK6812MINI-E_fixed-3d",216.375000,-73.600000,180.000000,bottom
"D84","SK6812MINI-E","SK6812MINI-E_fixed-3d",197.225000,-73.725000,180.000000,bottom
"D85","SK6812MINI-E","SK6812MINI-E_fixed-3d",178.312501,-73.777842,180.000000,bottom
"D86","SK6812MINI-E","SK6812MINI-E_fixed-3d",158.600001,-73.727842,180.000000,bottom
"D87","SK6812MINI-E","SK6812MINI-E_fixed-3d",140.212501,-73.827842,180.000000,bottom
"D88","SK6812MINI-E","SK6812MINI-E_fixed-3d",120.825000,-73.850000,180.000000,bottom
"D89","SK6812MINI-E","SK6812MINI-E_fixed-3d",101.162501,-74.052842,180.000000,bottom
"D90","SK6812MINI-E","SK6812MINI-E_fixed-3d",82.050000,-74.025000,180.000000,bottom
"D91","SK6812MINI-E","SK6812MINI-E_fixed-3d",86.610001,-49.952842,180.000000,bottom
"D92","SK6812MINI-E","SK6812MINI-E_fixed-3d",131.350000,-49.765000,180.000000,bottom
"D93","SK6812MINI-E","SK6812MINI-E_fixed-3d",150.700000,-49.990000,180.000000,bottom
"D94","SK6812MINI-E","SK6812MINI-E_fixed-3d",170.187501,-49.942842,180.000000,bottom
"D95","SK6812MINI-E","SK6812MINI-E_fixed-3d",212.145001,-49.577842,180.000000,bottom
"D96","SK6812MINI-E","SK6812MINI-E_fixed-3d",231.745000,-50.225000,180.000000,bottom
"D100","SK6812MINI-E","SK6812MINI-E_fixed-3d",86.712501,-92.802842,180.000000,bottom
"D101","SK6812MINI-E","SK6812MINI-E_fixed-3d",111.087501,-93.552842,180.000000,bottom
"D102","SK6812MINI-E","SK6812MINI-E_fixed-3d",130.637501,-93.127842,180.000000,bottom
"D103","SK6812MINI-E","SK6812MINI-E_fixed-3d",149.662501,-93.327842,180.000000,bottom
"D104","SK6812MINI-E","SK6812MINI-E_fixed-3d",168.600001,-92.527842,180.000000,bottom
"D105","SK6812MINI-E","SK6812MINI-E_fixed-3d",187.600001,-92.927842,180.000000,bottom
"D106","SK6812MINI-E","SK6812MINI-E_fixed-3d",206.800001,-92.927842,180.000000,bottom
"D107","SK6812MINI-E","SK6812MINI-E_fixed-3d",226.350000,-93.325000,180.000000,bottom
"D108","SK6812MINI-E","SK6812MINI-E_fixed-3d",245.000001,-92.677842,180.000000,bottom
"D109","SK6812MINI-E","SK6812MINI-E_fixed-3d",264.375000,-93.075000,180.000000,bottom
"D110","SK6812MINI-E","SK6812MINI-E_fixed-3d",284.225001,-93.152842,180.000000,bottom
"D111","SK6812MINI-E","SK6812MINI-E_fixed-3d",303.725001,-93.652842,180.000000,bottom
"D112","SK6812MINI-E","SK6812MINI-E_fixed-3d",322.475001,-92.902842,180.000000,bottom
"D113","SK6812MINI-E","SK6812MINI-E_fixed-3d",341.725001,-93.152842,180.000000,bottom
"D114","SK6812MINI-E","SK6812MINI-E_fixed-3d",89.250001,-112.152842,180.000000,bottom
"D115","SK6812MINI-E","SK6812MINI-E_fixed-3d",115.550001,-113.027842,180.000000,bottom
"D116","SK6812MINI-E","SK6812MINI-E_fixed-3d",134.925001,-112.377842,180.000000,bottom
"D117","SK6812MINI-E","SK6812MINI-E_fixed-3d",154.175001,-112.152842,180.000000,bottom
"D118","SK6812MINI-E","SK6812MINI-E_fixed-3d",172.975001,-112.052842,180.000000,bottom
"D119","SK6812MINI-E","SK6812MINI-E_fixed-3d",192.475000,-112.175000,180.000000,bottom
"D120","SK6812MINI-E","SK6812MINI-E_fixed-3d",211.350001,-112.452842,180.000000,bottom
"D121","SK6812MINI-E","SK6812MINI-E_fixed-3d",231.025000,-112.125000,180.000000,bottom
"D122","SK6812MINI-E","SK6812MINI-E_fixed-3d",250.862501,-111.952842,180.000000,bottom
"D123","SK6812MINI-E","SK6812MINI-E_fixed-3d",270.475001,-111.902842,180.000000,bottom
"D124","SK6812MINI-E","SK6812MINI-E_fixed-3d",288.912501,-111.877842,180.000000,bottom
"D125","SK6812MINI-E","SK6812MINI-E_fixed-3d",308.250001,-112.527842,180.000000,bottom
"D126","SK6812MINI-E","SK6812MINI-E_fixed-3d",334.650000,-112.675000,180.000000,bottom
"D127","SK6812MINI-E","SK6812MINI-E_fixed-3d",329.225000,-131.425000,180.000000,bottom
"D128","SK6812MINI-E","SK6812MINI-E_fixed-3d",298.375001,-131.327842,180.000000,bottom
"D129","SK6812MINI-E","SK6812MINI-E_fixed-3d",279.275001,-131.327842,180.000000,bottom
"D130","SK6812MINI-E","SK6812MINI-E_fixed-3d",259.650001,-131.577842,180.000000,bottom
"D131","SK6812MINI-E","SK6812MINI-E_fixed-3d",240.800000,-131.825000,180.000000,bottom
"D132","SK6812MINI-E","SK6812MINI-E_fixed-3d",221.412501,-131.252842,180.000000,bottom
"D133","SK6812MINI-E","SK6812MINI-E_fixed-3d",202.475001,-131.777842,180.000000,bottom
"D134","SK6812MINI-E","SK6812MINI-E_fixed-3d",182.925001,-131.327842,180.000000,bottom
"D135","SK6812MINI-E","SK6812MINI-E_fixed-3d",163.575001,-131.327842,180.000000,bottom
"D136","SK6812MINI-E","SK6812MINI-E_fixed-3d",144.225001,-131.877842,180.000000,bottom
